Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.1,,
Horizontal Delay,0,,
Sample Interval,0.0001,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,1,5
Vertical Position,1.98,0,-2.04
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-4.871e-01,0.115344,1.98578,1.56875
-4.870e-01,0.118422,2.00687,1.56406
-4.869e-01,0.125172,2.11813,1.56875
-4.868e-01,0.121859,2.03531,1.56797
-4.867e-01,0.118547,2.03437,1.5625
-4.866e-01,0.12525,2.17313,1.56797
-4.865e-01,0.122188,2.09391,1.5625
-4.864e-01,0.115484,2.02078,1.56172
-4.863e-01,0.118922,2.04188,1.55625
-4.862e-01,0.125828,2.12141,1.56406
-4.861e-01,0.122531,2.05812,1.56641
-4.860e-01,0.116109,2.03063,1.55703
-4.859e-01,0.119563,2.05453,1.56484
-4.858e-01,0.126453,2.10625,1.56406
-4.857e-01,0.123375,2.01531,1.55859
-4.856e-01,0.120359,2.05266,1.55703
-4.855e-01,0.127578,2.15547,1.56016
-4.854e-01,0.124625,2.08047,1.56953
-4.853e-01,0.118063,2.04734,1.56641
-4.852e-01,0.115219,2.01609,1.55781
-4.851e-01,0.113047,2.05734,1.56094
-4.850e-01,0.119906,2.11891,1.56172
-4.849e-01,0.119688,2.04969,1.56484
-4.848e-01,0.119625,2.00844,1.56328
-4.847e-01,0.116687,1.93734,1.56094
-4.846e-01,0.114547,2.00906,1.5625
-4.845e-01,0.121391,2.06984,1.55859
-4.844e-01,0.118828,2.00438,1.56484
-4.843e-01,0.116781,2.07375,1.57266
-4.842e-01,0.123891,2.12125,1.57031
-4.841e-01,0.123641,2.02969,1.56094
-4.840e-01,0.121109,2.01609,1.56641
-4.839e-01,0.115563,2.06891,1.55938
-4.838e-01,0.118797,2.03578,1.56563
-4.837e-01,0.125875,2.015,1.57031
-4.836e-01,0.12325,1.97562,1.57266
-4.835e-01,0.117922,2.03219,1.56875
-4.834e-01,0.117719,1.99594,1.57656
-4.833e-01,0.115578,2.00516,1.56953
-4.832e-01,0.114094,2.09437,1.56563
-4.831e-01,0.121172,1.98328,1.57578
-4.830e-01,0.118953,2.01578,1.56328
-4.829e-01,0.114156,2.1275,1.56953
-4.828e-01,0.117188,2.08828,1.56563
-4.827e-01,0.123766,2.01359,1.56172
-4.826e-01,0.121609,1.98562,1.56875
-4.825e-01,0.117297,2.06281,1.56563
-4.824e-01,0.117203,1.98344,1.57422
-4.823e-01,0.116828,1.97828,1.57109
-4.822e-01,0.119797,2.00047,1.57031
-4.821e-01,0.123812,2.12078,1.56719
-4.820e-01,0.117094,2.04594,1.56953
-4.819e-01,0.116563,1.98844,1.56875
-4.818e-01,0.119656,2.00641,1.56406
-4.817e-01,0.123547,2.12766,1.5625
-4.816e-01,0.116687,2.05859,1.5625
-4.815e-01,0.116563,1.9975,1.57109
-4.814e-01,0.119672,2.02344,1.55938
-4.813e-01,0.126781,2.13109,1.56016
-4.812e-01,0.123516,2.02766,1.56641
-4.811e-01,0.116563,2.00109,1.56641
-4.810e-01,0.119781,2.04172,1.57266
-4.809e-01,0.126844,2.15953,1.57031
-4.808e-01,0.123625,2.06859,1.55938
-4.807e-01,0.117031,2.03234,1.55703
-4.806e-01,0.120266,2.04781,1.55703
-4.805e-01,0.127016,2.15266,1.5625
-4.804e-01,0.126516,2.09609,1.55313
-4.803e-01,0.123719,2.0125,1.55625
-4.802e-01,0.120937,2.05187,1.5625
-4.801e-01,0.127844,2.14734,1.56172
-4.800e-01,0.124703,2.07703,1.55938
-4.799e-01,0.118359,2.04781,1.56953
-4.798e-01,0.118391,2.01922,1.56563
-4.797e-01,0.121656,2.00625,1.56875
-4.796e-01,0.1285,2.0725,1.55938
-4.795e-01,0.125703,2.02234,1.55938
-4.794e-01,0.1195,2.02703,1.55391
