Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.1,,
Horizontal Delay,0,,
Sample Interval,0.0001,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,1,5
Vertical Position,1.98,0,-2.04
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-5.000e-01,0.124812,2.12031,9.61641
-4.999e-01,0.114828,2.01094,9.6125
-4.998e-01,0.120969,2.35797,9.61328
-4.997e-01,0.120844,2.16047,9.62813
-4.996e-01,0.111156,2.07187,9.62344
-4.995e-01,0.117906,2.30063,9.61719
-4.994e-01,0.117891,2.15797,9.62109
-4.993e-01,0.108938,2.12875,9.61328
-4.992e-01,0.118844,2.05672,9.61875
-4.991e-01,0.110047,2.11125,9.6125
-4.990e-01,0.117937,2.29937,9.60938
-4.989e-01,0.117906,2.13281,9.61328
-4.988e-01,0.109656,2.12141,9.61406
-4.987e-01,0.118422,2.31969,9.61641
-4.986e-01,0.118141,2.16891,9.60938
-4.985e-01,0.126953,2.1375,9.6125
-4.984e-01,0.119391,2.33531,9.61484
-4.983e-01,0.1195,2.14312,9.60938
-4.982e-01,0.128891,2.29625,9.61641
-4.981e-01,0.118406,2.07672,9.61094
-4.980e-01,0.127891,2.1125,9.61094
-4.979e-01,0.117125,2.0125,9.61094
-4.978e-01,0.111375,2.18797,9.60391
-4.977e-01,0.121188,2.21953,9.60313
-4.976e-01,0.111391,2.18516,9.6125
-4.975e-01,0.12175,2.11781,9.60938
-4.974e-01,0.112078,2.09828,9.60469
-4.973e-01,0.119141,2.27188,9.59922
-4.972e-01,0.119063,2.10891,9.59531
-4.971e-01,0.11,2.12359,9.60156
-4.970e-01,0.117937,2.29531,9.59453
-4.969e-01,0.117812,2.14469,9.59297
-4.968e-01,0.109375,2.17078,9.59531
-4.967e-01,0.118,2.25516,9.59609
-4.966e-01,0.117656,2.14094,9.59766
-4.965e-01,0.126891,2.16812,9.6
-4.964e-01,0.118734,2.28797,9.59688
-4.963e-01,0.118719,2.12969,9.59531
-4.962e-01,0.127734,2.01844,9.5875
-4.961e-01,0.121016,2.27328,9.59375
-4.960e-01,0.110672,2.16344,9.59141
-4.959e-01,0.120609,2.14594,9.59297
-4.958e-01,0.130141,2.16016,9.59219
-4.957e-01,0.120156,2.04078,9.59766
-4.956e-01,0.114953,2.22438,9.59063
-4.955e-01,0.124922,2.18156,9.59141
-4.954e-01,0.115375,2.14141,9.59375
-4.953e-01,0.125719,2.04547,9.59063
-4.952e-01,0.116141,2.04297,9.58828
-4.951e-01,0.124203,2.16063,9.59688
-4.950e-01,0.115625,2.18953,9.6
-4.949e-01,0.12425,2.29016,9.59531
-4.948e-01,0.123656,2.13,9.59609
-4.947e-01,0.115719,2.20906,9.60156
-4.946e-01,0.124578,2.22953,9.60156
-4.945e-01,0.11425,2.05672,9.59453
-4.944e-01,0.123125,2.06625,9.59766
-4.943e-01,0.116406,2.19625,9.60234
-4.942e-01,0.125906,2.22703,9.60781
-4.941e-01,0.115563,2.08516,9.61094
