Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.1,,
Horizontal Delay,0,,
Sample Interval,0.0001,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,1,5
Vertical Position,1.98,0,-2.04
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-5.000e-01,0.123766,2.05094,3.61719
-4.999e-01,0.127219,1.97938,3.61719
-4.998e-01,0.121156,1.94531,3.62422
-4.997e-01,0.112812,2.02375,3.62266
-4.996e-01,0.116844,2.07563,3.62031
-4.995e-01,0.120234,1.98609,3.61172
-4.994e-01,0.115312,1.95734,3.61016
-4.993e-01,0.118891,2.03297,3.61484
-4.992e-01,0.122188,1.96406,3.61641
-4.991e-01,0.117297,1.99016,3.61172
-4.990e-01,0.121484,2.035,3.61406
-4.989e-01,0.124719,1.89125,3.61406
-4.988e-01,0.119766,1.93094,3.61172
-4.987e-01,0.117109,1.94234,3.62188
-4.986e-01,0.123391,2.06219,3.60938
-4.985e-01,0.119688,2.0325,3.60938
-4.984e-01,0.115812,1.91,3.60859
-4.983e-01,0.122266,2.0225,3.61016
-4.982e-01,0.118906,2.00594,3.61563
-4.981e-01,0.122,2.07594,3.61484
-4.980e-01,0.125531,2.16609,3.60625
-4.979e-01,0.12525,2.01484,3.60625
-4.978e-01,0.118453,1.87625,3.60938
-4.977e-01,0.121625,1.96297,3.60859
-4.976e-01,0.118578,1.95906,3.60625
-4.975e-01,0.121891,2.03484,3.60703
-4.974e-01,0.125453,2.02687,3.61406
-4.973e-01,0.118734,1.94203,3.60781
-4.972e-01,0.122297,2.00859,3.6125
-4.971e-01,0.119734,2.01594,3.60781
-4.970e-01,0.123203,2.07234,3.60469
-4.969e-01,0.126953,2.11781,3.60391
-4.968e-01,0.126406,1.98562,3.60234
-4.967e-01,0.120109,1.8975,3.60391
-4.966e-01,0.111547,1.93453,3.60156
-4.965e-01,0.115219,1.99031,3.60234
-4.964e-01,0.118469,1.93437,3.60078
-4.963e-01,0.112875,1.92203,3.60938
-4.962e-01,0.116781,1.96078,3.60781
-4.961e-01,0.115172,2.00891,3.60078
-4.960e-01,0.119234,2.04969,3.60625
-4.959e-01,0.1225,1.97625,3.60469
-4.958e-01,0.116953,1.9875,3.60078
-4.957e-01,0.120969,1.95344,3.60469
-4.956e-01,0.119875,2.03453,3.60625
-4.955e-01,0.117094,2.08984,3.60703
-4.954e-01,0.116687,1.99359,3.60703
-4.953e-01,0.111969,2.02312,3.60547
-4.952e-01,0.116063,2.04906,3.60938
-4.951e-01,0.119531,1.95422,3.60859
-4.950e-01,0.114953,1.99109,3.60078
-4.949e-01,0.112578,2.02094,3.60313
-4.948e-01,0.112609,1.94625,3.6
-4.947e-01,0.119078,2.02438,3.60234
-4.946e-01,0.122125,2.00859,3.59297
-4.945e-01,0.115437,1.90172,3.59453
-4.944e-01,0.118563,1.96031,3.59688
-4.943e-01,0.115641,1.96703,3.59297
-4.942e-01,0.118906,2.06047,3.59922
-4.941e-01,0.122219,2.01484,3.59531
