Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.1,,
Horizontal Delay,0,,
Sample Interval,0.0001,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,1,5
Vertical Position,1.98,0,-2.04
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-5.000e-01,0.116328,2.21453,6.96406
-4.999e-01,0.115234,2.13844,6.95938
-4.998e-01,0.123359,2.24328,6.95547
-4.997e-01,0.115437,2.15578,6.95938
-4.996e-01,0.122453,2.22609,6.95781
-4.995e-01,0.114969,2.14984,6.95156
-4.994e-01,0.121719,2.30219,6.96094
-4.993e-01,0.123125,2.09797,6.96172
-4.992e-01,0.117594,2.25406,6.96406
-4.991e-01,0.116641,2.20078,6.96172
-4.990e-01,0.125547,2.23844,6.95469
-4.989e-01,0.118203,2.1975,6.95625
-4.988e-01,0.125844,2.24297,6.95781
-4.987e-01,0.118953,2.22297,6.96641
-4.986e-01,0.126578,2.24578,6.96484
-4.985e-01,0.119688,2.24047,6.96172
-4.984e-01,0.118188,2.11781,6.96094
-4.983e-01,0.110078,2.10516,6.97031
-4.982e-01,0.117859,2.09984,6.96719
-4.981e-01,0.111766,2.15469,6.96016
-4.980e-01,0.119234,2.14047,6.96172
-4.979e-01,0.113641,2.19953,6.95469
-4.978e-01,0.121281,2.17781,6.95859
-4.977e-01,0.115641,2.25188,6.96094
-4.976e-01,0.123391,2.20734,6.96406
-4.975e-01,0.124547,2.00813,6.95625
-4.974e-01,0.117484,2.11313,6.96016
-4.973e-01,0.124594,2.31422,6.95625
-4.972e-01,0.117094,2.2,6.95703
-4.971e-01,0.123453,2.31484,6.95391
-4.970e-01,0.116047,2.2225,6.95234
-4.969e-01,0.114156,2.08594,6.95469
-4.968e-01,0.122812,2.19188,6.95625
-4.967e-01,0.115078,2.13266,6.95703
-4.966e-01,0.121969,2.17141,6.95547
-4.965e-01,0.115,2.16594,6.96094
-4.964e-01,0.122406,2.24281,6.95938
-4.963e-01,0.115156,2.22781,6.95547
-4.962e-01,0.122609,2.27203,6.96953
-4.961e-01,0.123828,2.16375,6.96641
-4.960e-01,0.115281,2.1225,6.95469
-4.959e-01,0.122828,2.16453,6.95625
-4.958e-01,0.115875,2.17234,6.95703
-4.957e-01,0.123781,2.23453,6.96016
-4.956e-01,0.117063,2.2325,6.96094
-4.955e-01,0.124594,2.24344,6.95547
-4.954e-01,0.126422,2.11859,6.95547
-4.953e-01,0.118172,2.11938,6.95391
-4.952e-01,0.109625,2.22766,6.95234
-4.951e-01,0.117312,2.21937,6.95781
-4.950e-01,0.118609,2.09859,6.94844
-4.949e-01,0.111406,2.16203,6.95547
-4.948e-01,0.119234,2.13047,6.95078
-4.947e-01,0.113891,2.22016,6.94922
-4.946e-01,0.121734,2.16328,6.95078
-4.945e-01,0.116484,2.30891,6.94531
-4.944e-01,0.115016,2.19641,6.95391
-4.943e-01,0.123094,2.28984,6.94844
-4.942e-01,0.115672,2.19609,6.95
-4.941e-01,0.122641,2.29,6.94531
